day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026/2/10,android,US,0,6970072321780,6970160770180,PIC五图01-英语,,,0,14,0,0,0,0,0,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366594880510,PIC23-合成犀牛-Vincent-英语,120239366594880510,PIC23-合成犀牛-Vincent-英语,8.18,13,0,0,0,6531,84,0,0,2
2026/2/9,android,KR,0,6931591409752,6939191253152,PIC17-4级巫妖-Vincent-韩语,,,0,13,0,0,0,0,0,0,0,0
2026/2/10,android,BR,0,120239366394730510,120239531552720510,VID24-DMG战斗2-Vincent-通用,,,0,13,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,6931591409752,6939191253152,PIC17-4级巫妖-Vincent-韩语,,,0,13,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,6931591409752,6931592749952,PIC05-合成祭司-Vincent-韩语,,,0,13,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238607155630510,120239422701200510,PIC五图01-英语,120239422701200510,PIC五图01-英语,102.04,13,0,0,0,9510,188,3,1,3
2026/2/10,android,US,0,120238648236360510,120239358530950510,VID19-角色展示轮播2-Vincent-英语,120239358530950510,VID19-角色展示轮播2-Vincent-英语,100.02,13,0,0,0,4601,96,788,515,3
2026/2/10,android,US,0,6970072321780,6970282527980,VID22-选择+闯关-Vincent-英语,,,0,13,0,0,0,0,0,0,0,0
2026/2/9,android,,0,,unknown,unknown,,,0,12,0,0,0,0,0,0,0,0
2026/2/9,android,KR,0,6931593682152,6939193504352,VID11-合成角色展示-Vincent-韩语,,,0,12,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,6970072321780,6970072322380,PIC21-合成火法师-Vincent-英语,,,0,12,0,0,0,0,0,0,0,0
