day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks
2026-02-09,android,TW,0,"=""6939217868352""","=""6939219987752""",VID12-英雄展示1-Abbey-通用,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939195938352""","=""6939210114752""",PIC21-合成火法师-Vincent-繁中,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939217868352""","=""6939220724952""",VID10-选择英雄+战斗-Vincent,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""6970072321780""","=""6970072322380""",PIC21-合成火法师-Vincent-英语,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-10,android,BR,0,"=""120239366394730510""","=""120239409035370510""",VID25-合成合成合成-Vincent-英语,"=""120239409035370510""",VID25-合成合成合成-Vincent-英语,57.49,9,0.0,0,0,34387.0,607.0
2026-02-10,android,KR,0,"=""6931593682152""","=""6939193162952""",VID18-角色展示轮播-Vincent-韩语,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""6939195938352""","=""6939210114152""",PIC18-合成加特林-Vincent-繁中,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""6970072321780""","=""6970072322380""",PIC21-合成火法师-Vincent-英语,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""6970072321780""","=""6970282527780""",VID11-合成角色展示-Vincent-通用,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-11,android,BR,0,"=""120239366594720510""","=""120239366594860510""",PIC21-合成火法师-Vincent-英语,"=""120239366594860510""",PIC21-合成火法师-Vincent-英语,40.97,9,0.0,0,0,38787.0,675.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239279840130510""",PIC12-战斗PVP-Vincent-英语,"=""120239279840130510""",PIC12-战斗PVP-Vincent-英语,11.29,8,0.0,0,0,12432.0,286.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239297880900510""",PIC34-神族阵容-Vincent-英语,"=""120239297880900510""",PIC34-神族阵容-Vincent-英语,4.25,8,0.0,0,0,5422.0,107.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239024373250510""",PIC21-合成火法师-Vincent-英语,"=""120239024373250510""",PIC21-合成火法师-Vincent-英语,11.41,8,0.0,0,0,16883.0,458.0
2026-02-09,android,BR,0,"=""120239366394730510""","=""120239531552730510""",VID06-LUDUS战斗-Vincent,"=""120239531552730510""",VID06-LUDUS战斗-Vincent,12.76,8,0.0,0,0,5566.0,86.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239531590770510""",PIC34-神族阵容-Vincent-英语,"=""120239531590770510""",PIC34-神族阵容-Vincent-英语,28.81,8,0.0,0,0,18634.0,330.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594870510""",PIC22-合成蛇女-Vincent-英语,"=""120239366594870510""",PIC22-合成蛇女-Vincent-英语,2.71,8,0.0,0,0,1526.0,35.0
2026-02-09,android,KR,0,"=""6931591409752""","=""6931593311552""",PIC08-升级进化-Vincent-韩语,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939195938352""","=""6939216112352""",PIC04-合成场景版-Vincent-繁中,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939195938352""","=""6939216112552""",PIC06-立绘卡牌展示-Vincent-繁中,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939217868352""","=""6939743275552""",VID22-选择+闯关-Vincent-繁中,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939217868352""","=""6939220724952""",VID10-选择英雄+战斗-Vincent,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""120238648236360510""","=""120238648236390510""",VID11-合成角色展示-Vincent-通用,"=""120238648236390510""",VID11-合成角色展示-Vincent-通用,176.09,8,0.0,0,0,8952.0,184.0
2026-02-09,android,US,0,"=""6970072321780""","=""6970160770180""",PIC五图01-英语,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""120238648236360510""","=""120239408869050510""",VID18-角色展示轮播-Vincent-英语,"=""120239408869050510""",VID18-角色展示轮播-Vincent-英语,128.4,8,0.0,0,0,7166.0,112.0
2026-02-09,android,US,0,"=""6970072321780""","=""6970160770580""",VID11-合成角色展示-Vincent-通用,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-10,android,BR,0,"=""120239366594720510""","=""120239366594730510""",PIC17-4级巫妖-Vincent-英语,"=""120239366594730510""",PIC17-4级巫妖-Vincent-英语,10.36,8,0.0,0,0,7100.0,149.0
2026-02-10,android,,0,,"=""unknown""",unknown,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-10,android,KR,0,"=""120241467475180572""","=""120241486368860572""",VID24-DMG战斗2-Vincent-韩语,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""6941413175152""","=""6941413182752""",PIC五图01-繁中,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""6939195938352""","=""6939210114752""",PIC21-合成火法师-Vincent-繁中,,,0.0,8,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""120238607155630510""","=""120239528904130510""",PIC21-合成火法师-Vincent-英语,"=""120239528904130510""",PIC21-合成火法师-Vincent-英语,251.13,8,0.0,0,0,26163.0,322.0
