date,account_id,ad_id,ad_name,spend,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026-02-09,1379725066317604,120239366594810510,PIC33-魔族阵容-Vincent-英语,9.68,4512,141,6.0,4.0,5.0
2026-02-09,1379725066317604,120239366594820510,PIC18-合成加特林-Vincent-英语,6.69,3774,100,0.0,0.0,3.0
2026-02-09,1379725066317604,120239366594830510,PIC16-4级蛇女-Vincent-英语,1.47,622,14,0.0,0.0,0.0
2026-02-09,1379725066317604,120239366594840510,PIC19-合成修理师-Vincent-英语,6.36,3428,90,0.0,0.0,0.0
2026-02-09,1379725066317604,120239366594850510,PIC20-合成厨师长-Vincent-英语,2.45,1154,33,0.0,0.0,0.0
2026-02-09,1379725066317604,120239366594860510,PIC21-合成火法师-Vincent-英语,40.74,38497,672,2.0,1.0,3.0
2026-02-09,1379725066317604,120239366594870510,PIC22-合成蛇女-Vincent-英语,2.69,1523,34,0.0,0.0,1.0
2026-02-09,1379725066317604,120239366594880510,PIC23-合成犀牛-Vincent-英语,8.18,6531,84,0.0,0.0,2.0
2026-02-09,1379725066317604,120239366594890510,PIC13-4级厨师长-Vincent-英语,17.97,15156,229,16.0,10.0,2.0
2026-02-09,1379725066317604,120239366594900510,PIC14-4级佛耶哥-Vincent-英语,10.93,5166,84,24.0,10.0,1.0
2026-02-09,1379725066317604,120239366594910510,PIC15-4级巨魔-Vincent-英语,3.14,1890,33,8.0,4.0,1.0
2026-02-09,1379725066317604,120239366795310510,PIC05-合成祭司-Vincent-英语,7.22,5601,102,3.0,2.0,2.0
2026-02-09,1379725066317604,120239366795320510,PIC08-升级进化-Vincent-英语,8.54,7123,99,0.0,0.0,0.0
2026-02-09,1379725066317604,120239366795330510,PIC04-合成场景版-Vincent-英语,0.47,238,7,0.0,0.0,0.0
2026-02-09,1379725066317604,120239366795350510,PIC09-挑战强弱-Vincent-英语,3.16,1158,30,0.0,0.0,1.0
2026-02-09,1379725066317604,120239373825000510,VID24-DMG战斗2-Vincent-通用,1.29,763,3,50.0,22.0,2.0
2026-02-09,1379725066317604,120239408869010510,VID25-合成合成合成-Vincent-英语,0.01,2,0,0.0,0.0,2.0
2026-02-09,1379725066317604,120239408869020510,VID23-英雄升级战斗-Vincent-英语,52.84,2365,55,330.0,230.0,5.0
2026-02-09,1379725066317604,120239408869050510,VID18-角色展示轮播-Vincent-英语,128.4,7166,112,945.0,626.0,3.0
2026-02-09,1379725066317604,120239408982830510,VID13-英雄展示2-Abbey-通用,0.25,136,3,13.0,7.0,2.0
2026-02-09,1379725066317604,120239409035370510,VID25-合成合成合成-Vincent-英语,57.49,34387,607,3231.0,1669.0,3.0
2026-02-09,1379725066317604,120239422701180510,PIC五图04-英语,61.34,6110,84,5.0,4.0,1.0
2026-02-09,1379725066317604,120239422701190510,PIC五图05-英语,5.35,1453,4,0.0,0.0,1.0
2026-02-09,1379725066317604,120239422701200510,PIC五图01-英语,206.93,17901,360,2.0,1.0,2.0
2026-02-09,1379725066317604,120239422701210510,PIC五图02-英语,7.72,1943,11,5.0,2.0,3.0
2026-02-09,1379725066317604,120239422701220510,PIC五图03-英语,20.91,3988,21,1.0,1.0,2.0
2026-02-09,1379725066317604,120239423107420510,PIC五图03-英语,2.94,1174,40,5.0,1.0,1.0
2026-02-09,1379725066317604,120239423107430510,PIC五图02-英语,1.0,459,17,2.0,1.0,1.0
2026-02-09,1379725066317604,120239423107450510,PIC五图05-英语,3.11,1687,24,4.0,2.0,1.0
2026-02-09,1379725066317604,120239423107460510,PIC五图04-英语,56.6,46700,1007,25.0,11.0,2.0
2026-02-09,1379725066317604,120239423540220510,PIC五图06-英语,89.06,7651,133,10.0,4.0,3.0
2026-02-09,1379725066317604,120239423626760510,PIC五图06-英语,4.21,1469,81,16.0,9.0,3.0
2026-02-09,1379725066317604,120239504948630510,VID26-魔族失败胜利-Vincent-英语,36.91,1810,33,122.0,85.0,3.0
2026-02-09,1379725066317604,120239528904090510,PIC18-合成加特林-Vincent-英语,48.12,2772,37,0.0,0.0,0.0
2026-02-09,1379725066317604,120239528904100510,PIC20-合成厨师长-Vincent-英语,9.41,1138,8,0.0,0.0,0.0
2026-02-09,1379725066317604,120239528904110510,PIC23-合成犀牛-Vincent-英语,19.82,1528,20,0.0,0.0,0.0
2026-02-09,1379725066317604,120239528904120510,PIC22-合成蛇女-Vincent-英语,12.92,1524,13,0.0,0.0,0.0
2026-02-09,1379725066317604,120239528904130510,PIC21-合成火法师-Vincent-英语,166.9,15980,176,0.0,0.0,2.0
2026-02-09,1379725066317604,120239528904140510,PIC19-合成修理师-Vincent-英语,26.32,1676,23,0.0,0.0,0.0
2026-02-09,1379725066317604,120239531552690510,VID18-角色展示轮播-Vincent-英语,3.93,3349,21,266.0,156.0,2.0
2026-02-09,1379725066317604,120239531552700510,VID25-合成合成合成-Vincent-英语,2.3,1521,13,120.0,69.0,2.0
2026-02-09,1379725066317604,120239531552710510,VID13-英雄展示2-Abbey-通用,0.74,511,4,38.0,27.0,4.0
