day,os_name,country,events,campaign_id,creative_id_network,creative_network,account_id,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长,match_prio
2026/2/10,android,TW,0,6939195938352,6939856067152,PIC五图01-繁中,1384270166683478,6939856067152,PIC五图01-繁中,85.48,0,0,9303,220,9303,220,0,0,0,1
2026/2/10,android,TW,0,6939195938352,6939858185152,PIC五图05-繁中,1384270166683478,6939858185152,PIC五图05-繁中,12.76,0,0,1769,21,1769,21,4,2,1,1
2026/2/10,android,TW,0,6939217868352,6941443781752,PIC04-合成场景版-Vincent-繁中,1384270166683478,6941443781752,PIC04-合成场景版-Vincent-繁中,6.91,0,0,786,8,786,8,0,0,0,1
2026/2/10,android,TW,0,6939217868352,6941443781352,PIC06-立绘卡牌展示-Vincent-繁中,1384270166683478,6941443781352,PIC06-立绘卡牌展示-Vincent-繁中,16.83,0,0,1342,22,1342,22,0,0,0,1
2026/2/10,android,TW,0,6939217868352,6941443781152,PIC19-合成修理师-Vincent-繁中,1384270166683478,6941443781152,PIC19-合成修理师-Vincent-繁中,31.92,0,0,3317,49,3317,49,0,0,0,1
2026/2/10,android,TW,0,6939217868352,6941443781952,PIC32-机械族阵容-Vincent-繁中,1384270166683478,6941443781952,PIC32-机械族阵容-Vincent-繁中,32.44,0,0,2397,50,2397,50,2,1,2,1
2026/2/10,android,TW,0,6939217868352,6941442663952,VID10-选择英雄+战斗-Vincent,1384270166683478,6941442663952,VID10-选择英雄+战斗-Vincent,29.38,0,0,2881,22,2881,22,349,285,4,1
2026/2/10,android,TW,0,6939217868352,6941442664152,VID21-神族战斗-Vincent-繁中,1384270166683478,6941442664152,VID21-神族战斗-Vincent-繁中,19.08,0,0,1631,13,1631,13,143,119,3,1
2026/2/10,android,TW,0,6939217868352,6939743275552,VID22-选择+闯关-Vincent-繁中,1384270166683478,6939743275552,VID22-选择+闯关-Vincent-繁中,69.95,0,0,6282,108,6282,108,1127,1014,6,1
2026/2/10,android,TW,0,6939217868352,6941442663752,VID22-选择+闯关-Vincent-繁中,1384270166683478,6941442663752,VID22-选择+闯关-Vincent-繁中,10.55,0,0,626,12,626,12,81,75,4,1
2026/2/10,android,TW,0,6939217868352,6939220725352,VID24-DMG战斗2-Vincent-繁中,1384270166683478,6939220725352,VID24-DMG战斗2-Vincent-繁中,0.37,0,0,60,0,60,0,2,0,1,1
2026/2/10,android,TW,0,6939217868352,6941442664352,VID24-DMG战斗2-Vincent-繁中,1384270166683478,6941442664352,VID24-DMG战斗2-Vincent-繁中,36.3,0,0,4397,35,4397,35,336,247,3,1
2026/2/10,android,TW,0,6939217868352,6939743275152,VID25-合成合成合成-Vincent-繁中,1384270166683478,6939743275152,VID25-合成合成合成-Vincent-繁中,19.51,0,0,2103,26,2103,26,366,238,8,1
2026/2/10,android,TW,0,6939217868352,6939220725752,VID26-魔族失败胜利-Vincent-繁中,1384270166683478,6939220725752,VID26-魔族失败胜利-Vincent-繁中,38.61,0,0,3549,31,3549,31,209,148,3,1
2026/2/10,android,TW,0,120240257805260572,120240257805250572,PIC04-合成场景版-Vincent-繁中,898128255870755,120240257805250572,PIC04-合成场景版-Vincent-繁中,29.24,0,0,4012,65,4012,65,0,0,0,1
2026/2/10,android,TW,0,120240257805260572,120241465869820572,PIC18-合成加特林-Vincent-繁中,898128255870755,120241465869820572,PIC18-合成加特林-Vincent-繁中,30.61,0,0,2976,71,2976,71,0,0,0,1
2026/2/10,android,KR,0,120241467475180572,120241467475140572,PIC五图05-韩语,898128255870755,120241467475140572,PIC五图05-韩语,9.37,0,0,701,11,701,11,5,4,1,1
2026/2/10,android,BR,0,120239366594720510,120239531590770510,PIC34-神族阵容-Vincent-英语,,,,0,10,0,0,0,0,0,0,0,0,1
