日期,国家,统一名称,统一 ID,平台,设备,下载量,收入
2025-11-13,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,248,2804.87
2025-11-13,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,12,134.34
2025-11-13,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,750,7020.17
2025-11-13,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,8,64.59
2025-11-13,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,2,2.25
2025-11-13,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,88,360.92
2025-11-13,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1626,11980.3
2025-11-13,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,120,1079.51
2025-11-13,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2071,36056.38
2025-11-14,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,283,2639.98
2025-11-14,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,10,119.02
2025-11-14,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,464,6732.29
2025-11-14,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,11,64.76
2025-11-14,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,8.55
2025-11-14,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,42,436.82
2025-11-14,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1500,12266.92
2025-11-14,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,89,798.13
2025-11-14,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,3022,51535.53
2025-11-15,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,277,3083.15
2025-11-15,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,35,161.16
2025-11-15,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,491,8031.02
2025-11-15,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,12,66.55
2025-11-15,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,2,3.37
2025-11-15,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,24,390.19
2025-11-15,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1230,11873.67
2025-11-15,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,147,1161.93
2025-11-15,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2467,41354.08
2025-11-16,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,205,2880.36
2025-11-16,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,35,159.0
2025-11-16,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,605,8892.69
2025-11-16,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,10,45.16
2025-11-16,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,2,1.01
2025-11-16,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,46,438.21
2025-11-16,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1018,11143.25
2025-11-16,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,154,984.23
2025-11-16,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2612,41955.92
2025-11-17,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,175,2548.58
2025-11-17,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,19,289.02
2025-11-17,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,428,10762.69
2025-11-17,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,9,55.47
2025-11-17,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,2.3
2025-11-17,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,27,301.35
2025-11-17,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1065,9306.27
2025-11-17,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,92,642.19
2025-11-17,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2394,38470.39
2025-11-18,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,223,2198.79
2025-11-18,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,21,95.74
2025-11-18,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,369,5695.93
2025-11-18,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,9,53.36
2025-11-18,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,1.82
2025-11-18,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,21,232.6
2025-11-18,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1662,9468.95
2025-11-18,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,67,742.9
2025-11-18,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2176,34551.83
2025-11-19,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,161,1668.57
2025-11-19,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,17,125.04
2025-11-19,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,367,4994.86
2025-11-19,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,7,52.93
2025-11-19,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,10.67
2025-11-19,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,13,250.82
2025-11-19,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,656,10042.0
2025-11-19,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,59,542.87
2025-11-19,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1823,42971.03
2025-11-20,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,128,2201.78
2025-11-20,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,14,126.93
2025-11-20,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,251,6958.11
2025-11-20,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,4,58.7
2025-11-20,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,23.13
2025-11-20,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,15,220.64
2025-11-20,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,671,10329.23
2025-11-20,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,57,689.9
2025-11-20,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1705,34356.39
2025-11-21,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,133,3138.86
2025-11-21,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,9,147.38
2025-11-21,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,228,7806.33
2025-11-21,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,5,64.94
2025-11-21,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,11.31
2025-11-21,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,28,267.79
2025-11-21,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,695,11836.04
2025-11-21,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,60,558.28
2025-11-21,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1705,54725.98
2025-11-22,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,113,2533.03
2025-11-22,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,10,210.52
2025-11-22,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,260,8791.57
2025-11-22,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,2,61.32
2025-11-22,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,10.19
2025-11-22,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,15,209.89
2025-11-22,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,666,10648.59
2025-11-22,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,91,607.22
2025-11-22,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2049,40123.34
2025-11-23,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,93,2389.23
2025-11-23,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,12,100.97
2025-11-23,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,277,8531.86
2025-11-23,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,2,56.14
2025-11-23,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,3.8
2025-11-23,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,9,279.75
2025-11-23,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,494,10172.77
2025-11-23,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,92,839.9
2025-11-23,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1808,37303.81
2025-11-24,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,87,2200.51
2025-11-24,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,4,164.72
2025-11-24,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,247,6564.61
2025-11-24,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,3,22.23
2025-11-24,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,2.91
2025-11-24,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,15,282.61
2025-11-24,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,450,8726.81
2025-11-24,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,35,690.21
2025-11-24,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1394,35907.1
2025-11-25,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,97,1942.97
2025-11-25,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,4,92.68
2025-11-25,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,217,9092.37
2025-11-25,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,3,19.75
2025-11-25,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,8.18
2025-11-25,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,20,181.54
